game_pk,official_date,game_dt,query_dates
823071,2026-04-15,2026-04-15T17:15:00Z,2026-04-15
823314,2026-04-15,2026-04-16T01:40:00Z,2026-04-15
823399,2026-04-15,2026-04-15T22:40:00Z,2026-04-15
823477,2026-04-15,2026-04-15T22:40:00Z,2026-04-15
823561,2026-04-15,2026-04-15T23:05:00Z,2026-04-15
823722,2026-04-15,2026-04-15T17:40:00Z,2026-04-15
823803,2026-04-15,2026-04-15T23:40:00Z,2026-04-15
823963,2026-04-15,2026-04-16T02:10:00Z,2026-04-15
824209,2026-04-15,2026-04-16T00:10:00Z,2026-04-15
824291,2026-04-15,2026-04-15T22:40:00Z,2026-04-15
824532,2026-04-15,2026-04-15T22:40:00Z,2026-04-15
824615,2026-04-15,2026-04-15T23:40:00Z,2026-04-15
824855,2026-04-15,2026-04-15T16:35:00Z,2026-04-15
824936,2026-04-15,2026-04-15T23:15:00Z,2026-04-15
825021,2026-04-15,2026-04-16T01:40:00Z,2026-04-15
