RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,RA9,ER9,WHIP,BB_PCT,K_PCT,HR9,WOBA_ALLOWED,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT
823396-642701,823396,2026-04-16,PIT,WSH,H,642701,Dennis Santana,RELIEF_OR_BULK,0.0,21.0,4.0,3.0,21.0,21.0,4.0,4.0,True,False,11,5,3,1,0,1,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
823396-664875,823396,2026-04-16,PIT,WSH,H,664875,Justin Lawrence,RELIEF_OR_BULK,3.0,29.0,6.0,3.0,0.0,0.0,0.0,0.0,False,False,12,5,3,0,0,1,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
823396-670990,823396,2026-04-16,PIT,WSH,H,670990,Yohan Ramírez,RELIEF_OR_BULK,1.0,26.0,6.0,6.0,26.0,26.0,6.0,6.0,False,False,17,6,3,1,1,1,1,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
823396-672335,823396,2026-04-16,WSH,PIT,A,672335,Cionel Pérez,RELIEF_OR_BULK,1.0,10.0,3.0,3.0,10.0,10.0,3.0,3.0,False,False,16,4,3,0,0,1,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
823396-676571,823396,2026-04-16,WSH,PIT,A,676571,PJ Poulin,RELIEF_OR_BULK,1.0,25.0,4.0,3.0,25.0,25.0,4.0,4.0,False,False,7,3,2,0,0,2,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,STARTER,MLB,False
823396-676755,823396,2026-04-16,PIT,WSH,H,676755,Isaac Mattson,RELIEF_OR_BULK,1.0,33.0,7.0,6.0,33.0,33.0,7.0,7.0,False,False,18,4,3,0,0,0,1,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
823396-681402,823396,2026-04-16,WSH,PIT,A,681402,Gus Varland,RELIEF_OR_BULK,1.0,19.0,5.0,3.0,19.0,19.0,5.0,5.0,False,False,10,2,2,0,0,0,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
823396-681895,823396,2026-04-16,PIT,WSH,H,681895,Evan Sisk,RELIEF_OR_BULK,2.0,31.0,9.0,6.0,0.0,31.0,0.0,9.0,False,False,14,3,1,1,1,2,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
823396-687377,823396,2026-04-16,WSH,PIT,A,687377,Orlando Ribalta,RELIEF_OR_BULK,2.0,14.0,3.0,3.0,0.0,14.0,0.0,3.0,False,False,14,3,3,0,0,1,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
823396-687606,823396,2026-04-16,WSH,PIT,A,687606,Paxton Schultz,RELIEF_OR_BULK,2.0,35.0,10.0,8.0,0.0,35.0,0.0,10.0,False,False,5,3,1,2,2,2,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
823396-690925,823396,2026-04-16,WSH,PIT,A,690925,Clayton Beeter,RELIEF_OR_BULK,1.0,8.0,2.0,2.0,8.0,8.0,2.0,2.0,False,False,32,7,3,1,1,1,2,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824530-594580,824530,2026-04-16,CIN,SF,H,594580,Sam Moll,RELIEF_OR_BULK,3.0,31.0,9.0,5.0,0.0,0.0,0.0,0.0,False,False,11,3,2,0,0,1,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824530-656271,824530,2026-04-16,CIN,SF,H,656271,Brock Burke,RELIEF_OR_BULK,0.0,13.0,3.0,1.0,13.0,13.0,3.0,3.0,True,False,15,5,2,3,0,2,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824530-669062,824530,2026-04-16,SF,CIN,A,669062,Erik Miller,RELIEF_OR_BULK,3.0,21.0,5.0,3.0,0.0,0.0,0.0,0.0,False,False,24,4,3,0,0,0,1,3,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824530-676254,824530,2026-04-16,SF,CIN,A,676254,Ryan Walker,RELIEF_OR_BULK,1.0,13.0,3.0,3.0,13.0,13.0,3.0,3.0,False,False,17,3,3,0,0,0,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824530-676775,824530,2026-04-16,SF,CIN,A,676775,Keaton Winn,RELIEF_OR_BULK,1.0,16.0,3.0,3.0,16.0,16.0,3.0,3.0,False,False,12,3,3,0,0,0,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824530-683175,824530,2026-04-16,CIN,SF,H,683175,Connor Phillips,RELIEF_OR_BULK,3.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False,23,6,3,0,0,1,1,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824530-693312,824530,2026-04-16,CIN,SF,H,693312,Kyle Nicolas,RELIEF_OR_BULK,3.0,40.0,10.0,6.0,0.0,0.0,0.0,0.0,False,False,10,2,2,0,0,0,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824289-623454,824289,2026-04-16,DET,KC,H,623454,Drew Anderson,RELIEF_OR_BULK,4.0,61.0,12.0,10.0,0.0,0.0,0.0,0.0,False,False,12,4,1,3,3,2,1,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824289-646241,824289,2026-04-16,DET,KC,H,646241,Enmanuel De Jesus,RELIEF_OR_BULK,7.0,21.0,5.0,3.0,0.0,0.0,0.0,0.0,False,False,19,5,3,0,0,2,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824289-656638,824289,2026-04-16,KC,DET,A,656638,Alex Lange,RELIEF_OR_BULK,3.0,16.0,4.0,3.0,0.0,0.0,0.0,0.0,False,False,20,5,3,0,0,2,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824289-657756,824289,2026-04-16,DET,KC,H,657756,Connor Seabold,RELIEF_OR_BULK,3.0,15.0,5.0,3.0,0.0,0.0,0.0,0.0,False,False,15,5,4,1,1,1,0,2,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824289-663738,824289,2026-04-16,KC,DET,A,663738,Daniel Lynch IV,RELIEF_OR_BULK,0.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,True,False,7,3,3,0,0,0,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824289-663947,824289,2026-04-16,DET,KC,H,663947,Tyler Holton,RELIEF_OR_BULK,0.0,14.0,4.0,2.0,14.0,14.0,4.0,4.0,True,False,13,2,1,1,1,1,0,0,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
824289-668674,824289,2026-04-16,KC,DET,A,668674,Lucas Erceg,RELIEF_OR_BULK,4.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False,24,6,2,3,3,3,1,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v8_sheet01_0416.csv,QA_VALIDATED_PBP_V8,RELIEF_OR_BULK,MLB,False
