date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-08-04,822865,SF,True,41,26,5,11,4,5,0,41,26,5,11,4,5,0,5,5
2026-08-04,822865,TEX,True,38,27,4,6,5,8,1,38,27,4,6,5,8,1,3,3
2026-08-04,823108,DET,True,34,27,0,4,4,8,0,34,27,0,4,4,8,0,0,0
2026-08-04,823108,SEA,True,43,27,8,13,5,11,3,43,27,8,13,5,11,3,7,7
2026-08-04,823432,WSH,True,36,24,5,11,2,4,0,36,24,5,11,2,4,0,5,5
2026-08-04,823432,PHI,True,33,27,0,5,2,9,0,33,27,0,5,2,9,0,0,0
2026-08-04,823517,STL,True,31,24,2,5,3,5,2,31,24,2,5,3,5,2,2,2
2026-08-04,823517,NYY,True,34,27,0,6,3,10,0,34,27,0,6,3,10,0,0,0
2026-08-04,823756,PIT,True,37,24,4,11,2,8,2,37,24,4,11,2,8,2,4,4
2026-08-04,823756,MIL,True,34,27,2,5,2,11,2,34,27,2,5,2,11,2,2,2
2026-08-04,824084,MIN,True,38,24,8,10,4,5,0,38,24,8,10,4,5,0,7,7
2026-08-04,824084,KC,True,38,27,2,7,4,4,1,38,27,2,7,4,4,1,2,2
2026-08-04,824161,TOR,True,38,24,7,9,7,4,1,38,24,7,9,7,4,1,7,7
2026-08-04,824161,HOU,True,33,27,2,5,2,6,0,33,27,2,5,2,6,0,2,2
2026-08-04,824321,TB,True,44,33,7,11,2,8,2,44,33,7,11,2,8,2,7,7
2026-08-04,824321,COL,True,49,33,9,12,5,11,1,49,33,9,12,5,11,1,8,8
2026-08-04,824403,NYM,True,40,27,2,7,8,8,0,40,27,2,7,8,8,0,2,2
2026-08-04,824403,CLE,True,38,27,6,9,3,9,3,38,27,6,9,3,9,3,3,3
2026-08-04,824484,ATH,True,33,24,5,5,5,7,0,33,24,5,5,5,7,0,5,5
2026-08-04,824484,CIN,True,37,27,4,8,3,9,0,37,27,4,8,3,9,0,3,3
2026-08-04,824645,LAD,True,36,24,5,9,3,8,2,36,24,5,9,3,8,2,5,5
2026-08-04,824645,CHC,True,31,27,1,4,2,4,1,31,27,1,4,2,4,1,1,1
2026-08-04,824731,CWS,True,40,24,14,15,3,2,4,40,24,14,15,3,2,4,13,13
2026-08-04,824731,BOS,True,36,27,2,6,5,8,0,36,27,2,6,5,8,0,2,2
2026-08-04,824805,LAA,True,31,24,3,4,2,7,1,31,24,3,4,2,7,1,3,3
2026-08-04,824805,BAL,True,37,27,1,10,2,11,0,37,27,1,10,2,11,0,0,0
2026-08-04,824888,MIA,True,34,24,4,7,1,6,2,34,24,4,7,1,6,2,3,3
2026-08-04,824888,ATL,True,35,27,2,8,3,7,0,35,27,2,8,3,7,0,2,2
2026-08-04,825054,SD,True,34,27,4,6,2,3,2,34,27,4,6,2,3,2,4,4
2026-08-04,825054,AZ,True,46,27,9,16,2,6,0,46,27,9,16,2,6,0,7,7
