game_pk,official_date,game_dt,query_dates
822809,2026-05-27,2026-05-27T17:07:00Z,2026-05-27
822897,2026-05-27,2026-05-28T00:05:00Z,2026-05-27
823217,2026-05-27,2026-05-27T19:45:00Z,2026-05-27
823295,2026-05-27,2026-05-27T20:10:00Z,2026-05-27
823376,2026-05-27,2026-05-27T22:40:00Z,2026-05-27
823626,2026-05-27,2026-05-27T23:10:00Z,2026-05-27
823783,2026-05-27,2026-05-27T17:40:00Z,2026-05-27
823947,2026-05-27,2026-05-28T02:10:00Z,2026-05-27
824104,2026-05-27,2026-05-27T23:40:00Z,2026-05-27
824270,2026-05-27,2026-05-27T22:40:00Z,2026-05-27
824432,2026-05-27,2026-05-27T17:10:00Z,2026-05-27
824596,2026-05-27,2026-05-27T23:40:00Z,2026-05-27
824756,2026-05-27,2026-05-27T22:45:00Z,2026-05-27
824836,2026-05-27,2026-05-27T22:35:00Z,2026-05-27
825003,2026-05-27,2026-05-27T19:05:00Z,2026-05-27
