game_pk,official_date,game_dt,query_dates
822740,2026-05-06,2026-05-06T22:45:00Z,2026-05-06
822985,2026-05-06,2026-05-06T17:10:00Z,2026-05-06
823063,2026-05-06,2026-05-06T17:15:00Z,2026-05-06
823141,2026-05-06,2026-05-06T20:10:00Z,2026-05-06
823226,2026-05-06,2026-05-06T19:45:00Z,2026-05-06
823470,2026-05-06,2026-05-06T22:40:00Z,2026-05-06
823550,2026-05-06,2026-05-06T23:05:00Z,2026-05-06
823872,2026-05-06,2026-05-06T22:40:00Z,2026-05-06
824036,2026-05-06,2026-05-06T20:07:00Z,2026-05-06
824118,2026-05-06,2026-05-06T23:40:00Z,2026-05-06
824198,2026-05-06,2026-05-06T18:10:00Z,2026-05-06
824282,2026-05-06,2026-05-06T22:40:00Z,2026-05-06
824361,2026-05-06,2026-05-07T01:20:00Z,2026-05-06
824683,2026-05-06,2026-05-06T23:40:00Z,2026-05-06
825091,2026-05-06,2026-05-07T01:40:00Z,2026-05-06
