date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-04-13,823073,CLE,True,40,27,3,9,4,6,1,40,27,3,9,4,6,1,3,3
2026-04-13,823073,STL,True,42,27,9,11,5,6,2,42,27,9,11,5,6,2,6,6
2026-04-13,823153,HOU,True,38,24,6,13,1,3,2,38,24,6,13,1,3,2,6,6
2026-04-13,823153,SEA,True,34,27,2,7,2,6,0,34,27,2,7,2,6,0,2,2
2026-04-13,823400,WSH,True,50,24,16,16,7,9,2,50,24,16,16,7,9,2,16,16
2026-04-13,823400,PIT,True,38,27,5,8,2,9,2,38,27,5,8,2,9,2,5,5
2026-04-13,823481,CHC,True,45,24,13,15,5,5,2,45,24,13,15,5,5,2,12,12
2026-04-13,823481,PHI,True,44,27,7,11,5,12,1,44,27,7,11,5,12,1,5,5
2026-04-13,823563,LAA,True,46,24,11,14,7,7,5,46,24,11,14,7,7,5,11,11
2026-04-13,823563,NYY,True,43,27,10,12,3,8,2,43,27,10,12,3,8,2,6,6
2026-04-13,823725,BOS,True,41,24,13,11,5,4,4,41,24,13,11,5,4,4,12,12
2026-04-13,823725,MIN,True,40,27,6,10,4,10,1,40,27,6,10,4,10,1,6,6
2026-04-13,823964,NYM,True,37,24,4,8,5,12,1,37,24,4,8,5,12,1,4,4
2026-04-13,823964,LAD,True,28,27,0,3,0,2,0,28,27,0,3,0,2,0,0,0
2026-04-13,824856,AZ,True,38,24,9,8,4,9,3,38,24,9,8,4,9,3,8,8
2026-04-13,824856,BAL,True,37,27,7,10,1,11,4,37,27,7,10,1,11,4,5,5
2026-04-13,824937,MIA,True,40,27,4,9,6,10,0,40,27,4,9,6,10,0,3,3
2026-04-13,824937,ATL,True,45,27,10,16,3,9,2,45,27,10,16,3,9,2,10,10
2026-04-13,825024,TEX,True,34,27,1,5,2,8,1,34,27,1,5,2,8,1,1,1
2026-04-13,825024,ATH,True,42,27,8,11,5,12,2,42,27,8,11,5,12,2,8,8
