RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT,PITCHER_CLASS,PRIMARY_POSITION,PBP_SOURCE,BOXSCORE_SOURCE,PITCH_COUNT_MATCH,ENTRY_INNING,ENTRY_HALF,FIRST_PLAY_INDEX,LAST_PLAY_INDEX
823440-548384,823440,2026-07-16,NYM,PHI,A,548384,Brooks Raley,RELIEF_OR_BULK,3,7,3,3,0,0,0,0,False,False,7,2,1,0,0,0,1,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,QA_VALIDATED_CANONICAL_V96,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,https://statsapi.mlb.com/api/v1.1/game/823440/feed/live,True,6,Bot,45,46
823440-596133,823440,2026-07-16,NYM,PHI,A,596133,Luke Weaver,RELIEF_OR_BULK,3,13,3,3,0,0,0,0,False,False,9,4,3,1,1,1,0,0,1,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,QA_VALIDATED_CANONICAL_V96,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,https://statsapi.mlb.com/api/v1.1/game/823440/feed/live,True,8,Bot,58,61
823440-605400,823440,2026-07-16,PHI,NYM,H,605400,Aaron Nola,STARTER,5,84,20,15,0,0,0,0,False,False,97,27,18,3,3,6,4,6,3,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,QA_VALIDATED_CANONICAL_V96,STARTER,MLB,False,STARTER/OPENER/BULK,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,https://statsapi.mlb.com/api/v1.1/game/823440/feed/live,True,1,Top,0,48
823440-623211,823440,2026-07-16,NYM,PHI,A,623211,Huascar Brazobán,RELIEF_OR_BULK,4,12,2,2,0,0,0,0,False,False,12,3,3,0,0,0,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,QA_VALIDATED_CANONICAL_V96,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,https://statsapi.mlb.com/api/v1.1/game/823440/feed/live,True,7,Bot,52,54
823440-642207,823440,2026-07-16,NYM,PHI,A,642207,Devin Williams,RELIEF_OR_BULK,3,22,7,3,0,0,0,0,False,False,13,3,3,0,0,0,0,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,QA_VALIDATED_CANONICAL_V96,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,https://statsapi.mlb.com/api/v1.1/game/823440/feed/live,True,9,Bot,67,69
823440-680742,823440,2026-07-16,PHI,NYM,H,680742,Jonathan Bowlan,RELIEF_OR_BULK,3,15,3,3,0,0,0,0,False,False,14,3,3,0,0,0,1,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,QA_VALIDATED_CANONICAL_V96,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,https://statsapi.mlb.com/api/v1.1/game/823440/feed/live,True,7,Top,49,51
823440-681035,823440,2026-07-16,NYM,PHI,A,681035,Christian Scott,STARTER,7,90,19,15,0,0,0,0,False,False,79,20,17,0,0,3,0,7,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,QA_VALIDATED_CANONICAL_V96,STARTER,MLB,False,STARTER/OPENER/BULK,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,https://statsapi.mlb.com/api/v1.1/game/823440/feed/live,True,1,Bot,3,44
823440-686751,823440,2026-07-16,PHI,NYM,H,686751,Seth Johnson,RELIEF_OR_BULK,9,15,3,2,0,0,0,0,False,False,27,8,6,1,1,1,1,2,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,QA_VALIDATED_CANONICAL_V96,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-16.parquet,https://statsapi.mlb.com/api/v1.1/game/823440/feed/live,True,8,Top,55,66
