pitcher_id,pbp_pitches,entry_inning,first_play_index,last_play_index,first_pitch_row,last_pitch_row,entry_half,game_pk,pbp_source,fallback_used,date,game_date_time,team,opp,home_away,pitcher_name,games_pitched,games_started,is_starter,role,boxscore_np,bf,outs,r,er,h,bb,k,hr,boxscore_source,_merge,pitch_count_match,physical_appearance,primary_position,primary_position_name,pitcher_class,line_stats_match,qa_status
592094,11,8,74,77,274,284,Bot,822886,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-06-19.parquet,False,2026-06-19,2026-06-20T00:05:00Z,SD,TEX,A,Jason Adam,1,0,False,RELIEF_OR_BULK,11,4,3,1,1,1,0,1,1,https://statsapi.mlb.com/api/v1.1/game/822886/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V72
593974,19,6,59,68,223,252,Bot,822886,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-06-19.parquet,False,2026-06-19,2026-06-20T00:05:00Z,SD,TEX,A,Wandy Peralta,1,0,False,RELIEF_OR_BULK,19,6,5,0,0,0,1,0,0,https://statsapi.mlb.com/api/v1.1/game/822886/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V72
594798,106,1,0,54,1,212,Top,822886,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-06-19.parquet,False,2026-06-19,2026-06-20T00:05:00Z,TEX,SD,H,Jacob deGrom,1,1,True,STARTER,106,27,18,6,6,6,3,9,2,https://statsapi.mlb.com/api/v1.1/game/822886/feed/live,both,True,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V72
596001,31,7,61,72,226,272,Top,822886,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-06-19.parquet,False,2026-06-19,2026-06-20T00:05:00Z,TEX,SD,H,Jakob Junis,1,0,False,RELIEF_OR_BULK,31,8,5,1,1,3,0,1,1,https://statsapi.mlb.com/api/v1.1/game/822886/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V72
656641,11,8,73,81,273,294,Top,822886,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-06-19.parquet,False,2026-06-19,2026-06-20T00:05:00Z,TEX,SD,H,Jacob Latz,1,0,False,RELIEF_OR_BULK,11,5,4,0,0,1,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822886/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V72
673513,34,4,40,49,150,193,Bot,822886,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-06-19.parquet,False,2026-06-19,2026-06-20T00:05:00Z,SD,TEX,A,Yuki Matsui,1,0,False,RELIEF_OR_BULK,34,7,5,0,0,1,1,3,0,https://statsapi.mlb.com/api/v1.1/game/822886/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V72
681190,72,1,9,39,32,149,Bot,822886,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-06-19.parquet,False,2026-06-19,2026-06-20T00:05:00Z,SD,TEX,A,Randy Vásquez,1,1,True,STARTER,72,21,10,7,6,8,3,1,0,https://statsapi.mlb.com/api/v1.1/game/822886/feed/live,both,True,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V72
688158,10,6,55,58,213,222,Bot,822886,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-06-19.parquet,False,2026-06-19,2026-06-20T00:05:00Z,SD,TEX,A,David Morgan,1,0,False,RELIEF_OR_BULK,10,4,1,1,1,3,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822886/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V72
571927,25,6,40,49,138,183,Top,822966,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-06-19.parquet,False,2026-06-19,2026-06-19T23:10:00Z,TB,WSH,H,Steven Matz,1,0,False,RELIEF_OR_BULK,25,6,5,0,0,1,0,1,0,https://statsapi.mlb.com/api/v1.1/game/822966/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V72
571945,85,3,19,61,71,221,Bot,822966,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-06-19.parquet,False,2026-06-19,2026-06-19T23:10:00Z,WSH,TB,A,Miles Mikolas,1,0,False,RELIEF_OR_BULK,85,26,18,5,5,9,1,2,2,https://statsapi.mlb.com/api/v1.1/game/822966/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V72
