date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-05-07,822741,MIN,True,35,24,7,8,4,5,1,35,24,7,8,4,5,1,7,7
2026-05-07,822741,WSH,True,41,27,5,11,4,8,1,41,27,5,11,4,8,1,5,5
2026-05-07,823306,STL,True,30,27,1,4,3,9,0,30,27,1,4,3,9,0,1,1
2026-05-07,823306,SD,True,35,27,2,5,5,8,1,35,27,2,5,5,8,1,2,2
2026-05-07,823467,ATH,True,32,27,1,6,1,9,1,32,27,1,6,1,9,1,1,1
2026-05-07,823467,PHI,True,44,27,12,13,5,7,4,44,27,12,13,5,7,4,12,12
2026-05-07,823551,TEX,True,43,24,9,14,6,6,0,43,24,9,14,6,6,0,9,9
2026-05-07,823551,NYY,True,39,27,2,6,7,4,1,39,27,2,6,7,4,1,2,2
2026-05-07,823870,BAL,True,36,26,4,6,3,4,1,36,26,4,6,3,4,1,3,3
2026-05-07,823870,MIA,True,37,27,3,9,3,8,0,37,27,3,9,3,8,0,3,3
2026-05-07,824117,CLE,True,42,27,5,12,5,7,2,42,27,5,12,5,7,2,5,5
2026-05-07,824117,KC,True,45,27,8,11,8,11,1,45,27,8,11,8,11,1,8,8
2026-05-07,824362,NYM,True,37,24,6,7,7,10,1,37,24,6,7,7,10,1,6,6
2026-05-07,824362,COL,True,36,27,2,6,5,6,0,36,27,2,6,5,6,0,2,2
2026-05-07,824681,CIN,True,38,24,8,7,7,3,1,38,24,8,7,7,3,1,8,8
2026-05-07,824681,CHC,True,45,27,3,9,8,12,2,45,27,3,9,8,12,2,3,3
2026-05-07,824767,TB,True,34,27,4,7,1,6,0,34,27,4,7,1,6,0,3,3
2026-05-07,824767,BOS,True,42,27,8,13,4,3,1,42,27,8,13,4,3,1,8,8
2026-05-07,825090,PIT,True,34,27,2,5,4,6,1,34,27,2,5,4,6,1,2,2
2026-05-07,825090,AZ,True,38,27,4,7,3,8,2,38,27,4,7,3,8,2,4,4
