date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-06-24,822719,PHI,True,38,27,4,6,3,10,3,38,27,4,6,3,10,3,4,4
2026-06-24,822719,WSH,True,37,27,5,8,2,6,1,37,27,5,8,2,6,1,3,3
2026-06-24,822798,HOU,True,32,27,1,4,2,6,1,32,27,1,4,2,6,1,1,1
2026-06-24,822798,TOR,True,40,27,3,4,8,8,0,40,27,3,4,8,8,0,2,2
2026-06-24,822965,KC,True,38,24,5,10,4,6,0,38,24,5,10,4,6,0,5,5
2026-06-24,822965,TB,True,38,27,3,7,2,12,1,38,27,3,7,2,12,1,1,1
2026-06-24,823041,AZ,True,37,27,4,8,2,7,1,37,27,4,8,2,7,1,4,4
2026-06-24,823041,STL,True,45,27,9,12,5,5,2,45,27,9,12,5,5,2,8,8
2026-06-24,823208,ATH,True,34,26,2,6,3,13,2,34,26,2,6,3,13,2,2,2
2026-06-24,823208,SF,True,32,27,1,3,3,7,1,32,27,1,3,3,7,1,1,1
2026-06-24,823284,ATL,True,36,24,5,7,6,8,1,36,24,5,7,6,8,1,5,5
2026-06-24,823284,SD,True,36,27,2,6,2,6,1,36,27,2,6,2,6,1,2,2
2026-06-24,823367,SEA,True,42,24,11,15,3,7,0,42,24,11,15,3,7,0,11,11
2026-06-24,823367,PIT,True,34,27,1,7,0,13,0,34,27,1,7,0,13,0,1,1
2026-06-24,823611,CHC,True,38,27,5,8,4,8,4,38,27,5,8,4,8,4,5,5
2026-06-24,823611,NYM,True,46,27,10,12,4,11,0,46,27,10,12,4,11,0,5,5
2026-06-24,823613,CHC,True,35,27,3,7,3,9,2,35,27,3,7,3,9,2,3,3
2026-06-24,823613,NYM,True,42,27,10,9,4,14,3,42,27,10,9,4,14,3,10,10
2026-06-24,823691,LAD,True,38,27,3,8,4,14,0,38,27,3,8,4,14,0,2,2
2026-06-24,823691,MIN,True,38,27,4,10,1,11,1,38,27,4,10,1,11,1,4,4
2026-06-24,823850,TEX,True,32,24,4,6,3,11,1,32,24,4,6,3,11,1,4,4
2026-06-24,823850,MIA,True,31,27,2,6,0,7,2,31,27,2,6,0,7,2,2,2
2026-06-24,824018,BAL,True,47,29,7,9,7,17,1,47,29,7,9,7,17,1,5,5
2026-06-24,824018,LAA,True,41,30,6,9,3,10,2,41,30,6,9,3,10,2,6,6
2026-06-24,824259,NYY,True,38,27,2,8,3,11,0,38,27,2,8,3,11,0,1,1
2026-06-24,824259,DET,True,33,27,4,6,0,13,3,33,27,4,6,0,13,3,4,4
2026-06-24,824341,BOS,True,42,24,8,14,1,11,0,42,24,8,14,1,11,0,3,3
2026-06-24,824341,COL,True,38,27,6,11,1,8,2,38,27,6,11,1,8,2,6,6
2026-06-24,824500,MIL,True,48,27,5,11,11,6,1,48,27,5,11,11,6,1,5,5
2026-06-24,824500,CIN,True,42,27,6,11,4,8,2,42,27,6,11,4,8,2,6,6
2026-06-24,824583,CLE,True,43,30,3,10,4,5,2,43,30,3,10,4,5,2,3,3
2026-06-24,824583,CWS,True,44,30,4,8,6,12,0,44,30,4,8,6,12,0,2,2
