game_pk,official_date,game_dt,query_dates
822774,2026-08-16,2026-08-16T17:37:00Z,2026-08-16
822940,2026-08-16,2026-08-16T16:15:00Z,2026-08-16
823182,2026-08-16,2026-08-16T20:05:00Z,2026-08-16
823344,2026-08-16,2026-08-16T17:35:00Z,2026-08-16
823590,2026-08-16,2026-08-16T17:40:00Z,2026-08-16
823670,2026-08-16,2026-08-16T18:10:00Z,2026-08-16
823912,2026-08-16,2026-08-16T20:10:00Z,2026-08-16
823991,2026-08-16,2026-08-16T20:07:00Z,2026-08-16
824156,2026-08-16,2026-08-16T23:20:00Z,2026-08-16
824236,2026-08-16,2026-08-16T17:40:00Z,2026-08-16
824397,2026-08-16,2026-08-16T17:40:00Z,2026-08-16
824477,2026-08-16,2026-08-16T17:40:00Z,2026-08-16
824642,2026-08-16,2026-08-16T19:15:00Z,2026-08-16
824880,2026-08-16,2026-08-16T17:35:00Z,2026-08-16
824965,2026-08-16,2026-08-16T20:05:00Z,2026-08-16
