game_pk,official_date,game_dt,query_dates
822711,2026-07-11,2026-07-11T20:05:00Z,2026-07-11
822875,2026-07-11,2026-07-11T23:05:00Z,2026-07-11
822953,2026-07-11,2026-07-11T20:10:00Z,2026-07-11
823030,2026-07-11,2026-07-11T23:15:00Z,2026-07-11
823198,2026-07-11,2026-07-11T20:05:00Z,2026-07-11
823276,2026-07-11,2026-07-12T00:40:00Z,2026-07-11
823356,2026-07-11,2026-07-11T20:05:00Z,2026-07-11
823357,2026-07-11,2026-07-11T16:05:00Z,2026-07-10|2026-07-11
823603,2026-07-11,2026-07-11T20:10:00Z,2026-07-11
823682,2026-07-11,2026-07-11T18:10:00Z,2026-07-11
823844,2026-07-11,2026-07-11T20:10:00Z,2026-07-11
823926,2026-07-11,2026-07-12T01:10:00Z,2026-07-11
824249,2026-07-11,2026-07-11T22:10:00Z,2026-07-11
824492,2026-07-11,2026-07-11T23:10:00Z,2026-07-11
824576,2026-07-11,2026-07-11T18:10:00Z,2026-07-11
824813,2026-07-11,2026-07-11T23:05:00Z,2026-07-11
