game_pk,official_date,game_dt,query_dates
823391,2026-04-30,2026-04-30T16:35:00Z,2026-04-30
823471,2026-04-30,2026-04-30T21:35:00Z,2026-04-29|2026-04-30
823472,2026-04-30,2026-04-30T16:35:00Z,2026-04-30
823634,2026-04-30,2026-04-30T17:10:00Z,2026-04-30
823714,2026-04-30,2026-04-30T23:40:00Z,2026-04-30
823795,2026-04-30,2026-04-30T17:40:00Z,2026-04-30
824524,2026-04-30,2026-04-30T16:40:00Z,2026-04-30
824848,2026-04-30,2026-04-30T16:35:00Z,2026-04-30
824850,2026-04-30,2026-04-30T16:40:00Z,2026-04-29|2026-04-30
824929,2026-04-30,2026-04-30T16:15:00Z,2026-04-30
825016,2026-04-30,2026-04-30T19:05:00Z,2026-04-30
