game_pk,official_date,game_dt,query_dates
822822,2026-05-08,2026-05-08T23:07:00Z,2026-05-08
822904,2026-05-08,2026-05-09T00:05:00Z,2026-05-08
823225,2026-05-08,2026-05-09T02:15:00Z,2026-05-08
823303,2026-05-08,2026-05-09T01:45:00Z,2026-05-08
823466,2026-05-08,2026-05-08T22:40:00Z,2026-05-08
823794,2026-05-08,2026-05-08T23:40:00Z,2026-05-08
823871,2026-05-08,2026-05-08T23:10:00Z,2026-05-08
823957,2026-05-08,2026-05-09T02:10:00Z,2026-05-08
824116,2026-05-08,2026-05-08T23:40:00Z,2026-05-08
824443,2026-05-08,2026-05-08T23:15:00Z,2026-05-08
824522,2026-05-08,2026-05-08T22:10:00Z,2026-05-08
824607,2026-05-08,2026-05-08T23:40:00Z,2026-05-08
824768,2026-05-08,2026-05-08T23:10:00Z,2026-05-08
824846,2026-05-08,2026-05-08T23:05:00Z,2026-05-08
825088,2026-05-08,2026-05-09T01:40:00Z,2026-05-08
