game_pk,official_date,game_dt,query_dates
822804,2026-06-10,2026-06-10T23:07:00Z,2026-06-10
822970,2026-06-10,2026-06-10T17:10:00Z,2026-06-10
823215,2026-06-10,2026-06-10T19:45:00Z,2026-06-10
823287,2026-06-10,2026-06-10T20:10:00Z,2026-06-10
823372,2026-06-10,2026-06-10T22:40:00Z,2026-06-10
823618,2026-06-10,2026-06-10T23:10:00Z,2026-06-10
823856,2026-06-10,2026-06-10T22:40:00Z,2026-06-10
824022,2026-06-10,2026-06-11T01:38:00Z,2026-06-10
824103,2026-06-10,2026-06-10T23:40:00Z,2026-06-10
824266,2026-06-10,2026-06-10T22:40:00Z,2026-06-10
824348,2026-06-10,2026-06-11T00:40:00Z,2026-06-10
824428,2026-06-10,2026-06-10T17:10:00Z,2026-06-10
824590,2026-06-10,2026-06-10T23:40:00Z,2026-06-10
824831,2026-06-10,2026-06-10T22:35:00Z,2026-06-10
824996,2026-06-10,2026-06-11T01:05:00Z,2026-06-10
