date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-08-06,823105,DET,True,32,27,0,7,2,7,0,32,27,0,7,2,7,0,0,0
2026-08-06,823105,SEA,True,48,27,11,16,4,11,2,48,27,11,16,4,11,2,10,10
2026-08-06,823430,WSH,True,38,24,7,16,2,3,0,38,24,7,16,2,3,0,7,7
2026-08-06,823430,PHI,True,38,27,3,8,3,12,1,38,27,3,8,3,12,1,3,3
2026-08-06,823754,PIT,True,32,24,5,6,2,10,2,32,24,5,6,2,10,2,4,4
2026-08-06,823754,MIL,True,34,27,2,6,4,9,1,34,27,2,6,4,9,1,2,2
2026-08-06,824080,MIN,True,33,27,3,7,1,4,0,33,27,3,7,1,4,0,3,3
2026-08-06,824080,KC,True,41,27,4,7,7,4,1,41,27,4,7,7,4,1,4,4
2026-08-06,824401,NYM,True,41,27,6,10,4,12,1,41,27,6,10,4,12,1,6,6
2026-08-06,824401,CLE,True,51,27,13,18,6,11,3,51,27,13,18,6,11,3,13,13
2026-08-06,824481,ATH,True,37,24,6,8,5,13,4,37,24,6,8,5,13,4,6,6
2026-08-06,824481,CIN,True,36,27,5,9,2,6,1,36,27,5,9,2,6,1,5,5
2026-08-06,824664,TOR,True,38,31,3,5,3,12,1,38,31,3,5,3,12,1,2,2
2026-08-06,824664,CHC,True,46,33,2,11,4,7,0,46,33,2,11,4,7,0,2,2
2026-08-06,824729,CWS,True,58,37,12,16,7,11,1,58,37,12,16,7,11,1,8,8
2026-08-06,824729,BOS,True,60,39,11,13,7,14,2,60,39,11,13,7,14,2,6,6
2026-08-06,824804,LAA,True,36,27,1,4,8,9,1,36,27,1,4,8,9,1,1,1
2026-08-06,824804,BAL,True,40,27,4,9,5,7,1,40,27,4,9,5,7,1,4,4
2026-08-06,824885,MIA,True,42,24,11,14,4,4,3,42,24,11,14,4,4,3,8,8
2026-08-06,824885,ATL,True,38,27,3,8,4,8,0,38,27,3,8,4,8,0,3,3
2026-08-06,825053,SD,True,35,27,1,8,1,10,0,35,27,1,8,1,10,0,1,1
2026-08-06,825053,AZ,True,41,27,5,12,3,4,0,41,27,5,12,3,4,0,5,5
