RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT,PITCHER_CLASS,PBP_SOURCE,BOXSCORE_SOURCE,PITCH_COUNT_MATCH,ENTRY_INNING,ENTRY_HALF,FIRST_PLAY_INDEX,LAST_PLAY_INDEX
825105-543510,825105,2026-04-02,AZ,ATL,H,543510,James McCann,RELIEF_OR_BULK,,,,,0,0,0,0,False,False,20,10,3,5,5,7,0,0,1,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-02.parquet,EXCLUIR_POSITION_PLAYER_PITCHING,,,False,POSITION_PLAYER_PITCHING,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-02.parquet,https://statsapi.mlb.com/api/v1.1/game/825105/feed/live,True,9,Top,72,81
822832-623168,822832,2026-04-06,TOR,LAD,H,623168,Tyler Heineman,RELIEF_OR_BULK,6.0,27.0,14.0,6.0,0,0,0,0,False,False,11,3,3,0,0,0,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-06.parquet,EXCLUIR_POSITION_PLAYER_PITCHING,RELIEF_OR_BULK,MLB,False,POSITION_PLAYER_PITCHING,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-06.parquet,https://statsapi.mlb.com/api/v1.1/game/822832/feed/live,True,9,Top,79,81
