game_pk,official_date,game_dt,query_dates
822750,2026-04-19,2026-04-19T17:35:00Z,2026-04-19
823150,2026-04-19,2026-04-19T20:10:00Z,2026-04-19
823393,2026-04-19,2026-04-19T17:35:00Z,2026-04-19
823475,2026-04-19,2026-04-19T23:20:00Z,2026-04-19
823556,2026-04-19,2026-04-19T17:35:00Z,2026-04-19
823718,2026-04-19,2026-04-19T18:10:00Z,2026-04-19
823881,2026-04-19,2026-04-19T17:40:00Z,2026-04-19
824047,2026-04-19,2026-04-19T20:07:00Z,2026-04-19
824205,2026-04-19,2026-04-19T18:10:00Z,2026-04-19
824371,2026-04-19,2026-04-19T19:10:00Z,2026-04-19
824452,2026-04-19,2026-04-19T17:40:00Z,2026-04-19
824691,2026-04-19,2026-04-19T18:20:00Z,2026-04-19
824777,2026-04-19,2026-04-19T20:35:00Z,2026-04-19
825018,2026-04-19,2026-04-19T20:05:00Z,2026-04-19
825100,2026-04-19,2026-04-19T20:10:00Z,2026-04-19
