game_pk,pitcher_id,boxscore_np,games_pitched,savant_pitches,_merge,match
822710,656492,99,1,99,both,True
822710,663878,18,1,18,both,True
822710,664299,30,1,30,both,True
822710,664875,17,1,17,both,True
822710,681293,94,1,94,both,True
822710,687377,21,1,21,both,True
822710,695001,38,1,38,both,True
822880,543309,16,1,16,both,True
822880,666171,17,1,17,both,True
822880,669022,90,1,90,both,True
822880,686560,24,1,24,both,True
822880,687239,10,1,10,both,True
822880,695239,15,1,15,both,True
822880,696519,24,1,24,both,True
822880,700712,90,1,90,both,True
822880,815083,12,1,12,both,True
822880,820862,22,1,22,both,True
822957,518585,15,1,15,both,True
822957,543037,97,1,97,both,True
822957,641329,16,1,16,both,True
822957,642121,27,1,27,both,True
822957,663556,85,1,85,both,True
822957,683409,10,1,10,both,True
823032,657649,16,1,16,both,True
823032,668831,23,1,23,both,True
823032,668941,20,1,20,both,True
823032,676617,15,1,15,both,True
823032,681982,26,1,26,both,True
823032,690986,70,1,70,both,True
823032,700241,90,1,90,both,True
823032,703725,8,1,8,both,True
823202,643511,4,1,4,both,True
823202,656302,118,1,118,both,True
823202,657277,106,1,106,both,True
823202,676254,28,1,28,both,True
823202,702352,31,1,31,both,True
823279,606996,37,1,37,both,True
823279,650633,92,1,92,both,True
823279,657044,15,1,15,both,True
823279,664199,27,1,27,both,True
823279,666661,14,1,14,both,True
823279,676760,23,1,23,both,True
823279,703615,74,1,74,both,True
823279,805299,9,1,9,both,True
823360,628452,20,1,20,both,True
823360,642701,16,1,16,both,True
823360,656550,90,1,90,both,True
823360,669276,10,1,10,both,True
823360,676755,12,1,12,both,True
823360,682254,16,1,16,both,True
823360,683003,77,1,77,both,True
823360,689266,8,1,8,both,True
823360,800311,19,1,19,both,True
823605,548384,11,1,11,both,True
823605,621016,14,1,14,both,True
823605,621381,5,1,5,both,True
823605,656638,38,1,38,both,True
823605,668964,39,1,39,both,True
823605,674444,14,1,14,both,True
823605,675540,22,1,22,both,True
823605,677976,95,1,95,both,True
823605,681035,90,1,90,both,True
823684,542888,18,1,18,both,True
823684,573124,15,1,15,both,True
823684,670036,31,1,31,both,True
823684,670059,8,1,8,both,True
823684,671922,23,1,23,both,True
823684,672782,19,1,19,both,True
823684,677944,67,1,67,both,True
823684,679358,16,1,16,both,True
823684,681870,14,1,14,both,True
823684,681892,20,1,20,both,True
823684,682120,6,1,6,both,True
823684,683769,18,1,18,both,True
823684,687570,83,1,83,both,True
823684,701519,20,1,20,both,True
823848,656848,14,1,14,both,True
823848,663969,71,1,71,both,True
823848,664126,14,1,14,both,True
823848,669923,86,1,86,both,True
823848,689546,15,1,15,both,True
823848,806188,26,1,26,both,True
823928,622608,29,1,29,both,True
823928,656945,11,1,11,both,True
823928,657514,10,1,10,both,True
823928,676263,5,1,5,both,True
823928,681911,18,1,18,both,True
823928,683618,2,1,2,both,True
823928,687312,94,1,94,both,True
823928,808963,78,1,78,both,True
824253,605488,92,1,92,both,True
824253,660761,23,1,23,both,True
824253,663947,14,1,14,both,True
824253,672456,32,1,32,both,True
824253,675512,91,1,91,both,True
824253,686930,26,1,26,both,True
824253,686993,12,1,12,both,True
824253,689225,13,1,13,both,True
824496,621237,35,1,35,both,True
824496,621383,17,1,17,both,True
824496,641745,14,1,14,both,True
824496,641835,21,1,21,both,True
824496,656271,26,1,26,both,True
824496,657571,12,1,12,both,True
824496,660604,69,1,69,both,True
824496,676661,19,1,19,both,True
824496,695076,36,1,36,both,True
824496,695505,106,1,106,both,True
824578,622554,13,1,13,both,True
824578,663436,84,1,84,both,True
824578,663542,24,1,24,both,True
824578,663558,12,1,12,both,True
824578,669684,26,1,26,both,True
824578,669711,10,1,10,both,True
824578,670950,47,1,47,both,True
824578,687562,81,1,81,both,True
824815,519141,22,1,22,both,True
824815,544150,14,1,14,both,True
824815,573204,21,1,21,both,True
824815,607067,91,1,91,both,True
824815,657097,9,1,9,both,True
824815,663423,6,1,6,both,True
824815,664991,25,1,25,both,True
824815,665152,92,1,92,both,True
824815,669330,11,1,11,both,True
824815,670329,25,1,25,both,True
