game_pk,official_date,game_dt,query_dates
822824,2026-04-26,2026-04-26T17:37:00Z,2026-04-26
822911,2026-04-26,2026-04-26T18:35:00Z,2026-04-26
822991,2026-04-26,2026-04-26T17:40:00Z,2026-04-26
823068,2026-04-26,2026-04-26T18:15:00Z,2026-04-26
823230,2026-04-26,2026-04-26T20:05:00Z,2026-04-26
823635,2026-04-26,2026-04-26T17:40:00Z,2026-04-26
823637,2026-04-26,2026-04-26T17:45:00Z,2026-04-25|2026-04-26
823797,2026-04-26,2026-04-26T18:10:00Z,2026-04-26
823959,2026-04-26,2026-04-26T20:10:00Z,2026-04-26
824122,2026-04-26,2026-04-26T20:10:00Z,2026-04-26
824202,2026-04-26,2026-04-26T18:10:00Z,2026-04-26
824528,2026-04-26,2026-04-26T17:40:00Z,2026-04-26
824612,2026-04-26,2026-04-26T18:10:00Z,2026-04-26
824852,2026-04-26,2026-04-26T17:35:00Z,2026-04-26
824934,2026-04-26,2026-04-26T17:35:00Z,2026-04-26
825094,2026-04-26,2026-04-26T20:05:00Z,2026-04-26
