PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,12449,18.07,3321,0.254,0.338,0.426,0.344,0.345,-19.5
2024,BREAKING,7184,34.85,1725,0.211,0.256,0.367,0.279,0.271,-10.7
2024,OFFSPEED,3461,37.66,961,0.205,0.246,0.321,0.258,0.265,-23.5
2025,FASTBALL,12541,17.11,3388,0.27,0.341,0.459,0.356,0.333,17.1
2025,BREAKING,7021,32.99,1776,0.225,0.28,0.398,0.302,0.283,13.3
2025,OFFSPEED,3423,35.58,931,0.235,0.289,0.368,0.299,0.278,4.4
2026_CUTOFF,FASTBALL,8180,18.6,2150,0.267,0.352,0.439,0.357,0.345,5.7
2026_CUTOFF,BREAKING,4287,32.51,1069,0.231,0.289,0.393,0.304,0.29,3.9
2026_CUTOFF,OFFSPEED,2263,29.9,624,0.209,0.262,0.325,0.278,0.263,0.1
