PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,745753,666204,BULLPEN,3,1,1,1,0,0,1,4
2024,745753,666205,BULLPEN,6,4,1,0,0,0,0,9
2024,745755,622072,STARTER,17,8,1,1,2,0,5,25
2024,745755,613534,BULLPEN,1,1,0,0,0,0,0,2
2024,745755,668674,BULLPEN,3,0,0,0,1,0,2,4
2024,745755,519008,BULLPEN,2,1,0,0,0,0,1,3
2024,745755,695243,BULLPEN,4,1,0,0,0,0,3,5
2024,747050,548389,STARTER,17,6,2,1,0,0,3,23
2024,747050,519008,BULLPEN,1,0,0,0,0,0,0,1
2024,747050,687765,BULLPEN,9,0,0,0,1,0,2,10
2024,747050,695243,BULLPEN,3,0,0,0,0,0,2,3
2024,747052,676664,STARTER,19,8,7,3,1,0,8,28
2024,747052,547184,BULLPEN,5,1,0,0,0,0,1,6
2024,747045,621112,STARTER,12,7,6,3,1,0,5,20
2024,747045,666205,BULLPEN,7,1,0,0,1,0,2,9
2024,747045,613534,BULLPEN,2,1,0,0,0,0,1,3
2024,747045,519008,BULLPEN,3,0,0,0,0,0,2,3
2024,747045,668674,BULLPEN,3,0,0,0,0,0,2,3
2024,745672,671212,STARTER,15,1,1,0,4,0,4,19
2024,745672,666204,BULLPEN,6,0,0,0,1,0,2,6
2024,745672,547184,BULLPEN,6,1,0,0,0,0,1,6
2024,745673,622072,STARTER,12,4,2,1,4,0,4,20
2024,745673,687765,BULLPEN,9,1,0,0,0,0,2,10
2024,745673,668674,BULLPEN,3,0,0,0,0,0,3,3
2024,745673,695243,BULLPEN,3,0,0,0,0,0,3,3
2024,745670,548389,STARTER,18,3,0,0,0,0,2,23
2024,745670,519008,BULLPEN,2,1,0,0,0,0,1,3
2024,745670,613534,BULLPEN,1,0,0,0,2,0,1,3
2024,745670,666204,BULLPEN,2,0,0,0,2,0,0,4
2024,745670,547184,BULLPEN,1,0,0,0,0,0,0,1
2024,745670,695243,BULLPEN,3,0,0,0,0,0,1,3
2024,745665,676664,STARTER,19,4,0,0,1,0,6,23
2024,745665,613534,BULLPEN,2,0,0,0,0,0,1,2
2024,745665,547184,BULLPEN,2,1,0,0,1,0,0,4
2024,745665,668674,BULLPEN,4,2,1,0,0,1,3,7
2024,745666,621112,STARTER,21,4,1,1,1,0,3,25
2024,745666,666204,BULLPEN,3,1,2,1,1,0,1,5
2024,745666,666205,BULLPEN,3,2,1,0,0,0,0,5
2024,745667,671212,STARTER,3,1,4,1,3,0,1,7
2024,745667,687765,BULLPEN,14,6,4,0,1,0,5,20
2024,745667,547184,BULLPEN,7,1,0,0,1,1,2,9
2024,745667,519008,BULLPEN,3,6,4,0,0,0,0,9
2024,745669,622072,STARTER,18,2,0,0,1,0,3,21
2024,745669,613534,BULLPEN,3,0,0,0,0,0,2,3
2024,745669,668674,BULLPEN,3,2,3,1,2,0,2,7
2024,745669,666204,BULLPEN,3,1,0,0,2,0,1,7
2024,745668,548389,STARTER,5,10,5,1,2,0,2,18
2024,745668,663687,BULLPEN,16,8,4,0,1,0,5,26
2024,745668,621053,BULLPEN,6,1,0,0,2,1,3,10
2024,745659,674370,STARTER,8,3,4,0,2,1,4,14
2024,745659,547184,BULLPEN,1,3,2,0,1,0,1,5
2024,745659,519008,BULLPEN,6,2,0,0,0,0,1,8
2024,745659,666205,BULLPEN,9,5,3,0,3,0,2,16
2024,745659,687922,BULLPEN,3,3,2,0,1,0,2,7
2024,745664,676664,STARTER,17,8,4,2,1,0,3,26
2024,745664,613534,BULLPEN,4,1,0,0,0,0,1,5
2024,745664,695243,BULLPEN,6,0,0,0,0,0,4,6
2024,745264,621112,STARTER,12,7,7,1,3,1,5,23
2024,745264,621053,BULLPEN,3,1,0,0,0,0,2,4
2024,745264,687922,BULLPEN,4,2,1,0,1,0,4,7
2024,745264,547184,BULLPEN,5,1,0,0,0,0,0,5
2024,745262,683155,STARTER,15,2,1,1,0,0,5,17
2024,745262,687765,BULLPEN,3,1,0,0,0,0,0,3
2024,745262,613534,BULLPEN,3,0,0,0,0,0,1,3
2024,745262,668674,BULLPEN,3,0,0,0,0,0,0,3
2024,745262,547184,BULLPEN,3,0,0,0,0,0,1,3
2024,745255,622072,STARTER,6,4,1,1,1,0,1,12
2024,745255,666205,BULLPEN,12,4,3,2,0,0,5,16
2024,745255,621053,BULLPEN,3,0,0,0,2,0,1,4
2024,745255,519008,BULLPEN,3,0,0,0,1,0,0,3
2024,746393,548389,STARTER,15,4,2,1,2,1,1,20
2024,746393,519008,BULLPEN,3,1,0,0,0,0,1,3
2024,746393,687765,BULLPEN,2,2,2,1,1,0,1,5
2024,746393,687922,BULLPEN,4,3,3,0,1,0,0,9
2024,746396,676664,STARTER,15,5,1,1,1,0,2,21
2024,746396,613534,BULLPEN,3,0,0,0,0,0,2,3
2024,746396,668674,BULLPEN,3,0,0,0,0,0,2,3
2024,746396,695243,BULLPEN,6,0,0,0,1,0,5,7
2024,746396,547184,BULLPEN,1,1,0,0,0,0,0,2
2024,746397,605156,STARTER,21,7,3,0,1,0,5,28
2024,746397,519008,BULLPEN,2,1,0,0,0,0,0,3
2024,746397,621053,BULLPEN,1,0,0,0,0,0,0,1
2024,746391,683155,STARTER,11,8,8,1,4,0,4,23
2024,746391,663687,BULLPEN,10,0,0,0,2,1,3,12
2024,746391,621053,BULLPEN,3,0,0,0,0,0,1,3
2024,746310,687765,STARTER,14,5,1,0,1,0,4,20
2024,746310,519008,BULLPEN,1,0,0,0,0,0,0,1
2024,746310,613534,BULLPEN,1,1,3,1,2,0,0,4
2024,746310,656232,BULLPEN,8,5,2,1,0,0,1,13
2024,746308,548389,STARTER,15,9,4,0,0,0,2,24
2024,746308,519008,BULLPEN,3,0,0,0,0,0,0,2
2024,746308,668674,BULLPEN,3,1,1,1,0,0,1,4
2024,746308,547184,BULLPEN,3,1,0,0,0,0,1,4
2024,746306,676664,STARTER,13,5,4,0,2,0,4,19
2024,746306,613534,BULLPEN,2,1,0,0,0,0,1,3
2024,746306,621053,BULLPEN,3,2,4,0,2,0,0,7
2024,746306,666205,BULLPEN,3,1,0,0,0,0,0,4
2024,746306,695243,BULLPEN,3,1,0,0,0,0,0,3
2024,745662,605156,STARTER,18,6,3,2,1,1,3,27
2024,745662,518397,BULLPEN,2,1,1,1,0,0,0,3
2024,745662,613534,BULLPEN,1,1,0,0,0,0,0,2
2024,745662,668674,BULLPEN,3,0,0,0,0,0,0,3
2024,745662,695243,BULLPEN,3,0,0,0,0,0,3,3
2024,745661,687765,STARTER,9,5,2,1,3,0,4,17
2024,745661,656232,BULLPEN,8,3,0,0,0,0,1,10
2024,745661,519008,BULLPEN,2,0,0,0,1,0,0,3
2024,745661,547184,BULLPEN,5,1,0,0,1,0,2,7
2024,745661,668674,BULLPEN,6,1,0,0,0,0,1,6
2024,745661,613534,BULLPEN,3,0,0,0,0,0,3,3
2024,745661,666205,BULLPEN,3,2,1,1,0,0,0,5
2024,745660,683155,STARTER,21,7,4,0,0,0,6,27
2024,745660,518397,BULLPEN,3,0,0,0,0,0,2,3
2024,745660,547184,BULLPEN,3,0,0,0,0,0,2,3
2024,745660,695243,BULLPEN,5,3,3,0,1,0,1,8
2024,745660,656232,BULLPEN,1,1,0,0,1,0,1,3
2024,745663,548389,STARTER,11,8,6,1,0,0,3,19
2024,745663,666205,BULLPEN,12,4,0,0,1,0,1,16
2024,745663,547184,BULLPEN,1,0,0,0,0,0,0,1
2024,745663,519008,BULLPEN,3,0,0,0,1,0,0,4
2024,745658,676664,STARTER,18,2,0,0,1,1,1,22
2024,745658,613534,BULLPEN,1,1,0,0,0,0,1,2
2024,745658,668674,BULLPEN,3,1,0,0,0,0,1,4
2024,745658,518397,BULLPEN,2,0,0,0,0,0,0,2
2024,745658,695243,BULLPEN,3,0,0,0,0,0,3,3
2024,745653,605156,STARTER,13,9,1,1,3,0,1,24
2024,745653,621053,BULLPEN,5,0,0,0,1,0,2,5
2024,745653,672552,BULLPEN,9,2,0,0,1,0,2,12
2024,745091,687765,STARTER,16,1,0,0,1,0,4,18
2024,745091,519008,BULLPEN,3,0,0,0,0,0,1,3
2024,745091,547184,BULLPEN,5,1,0,0,0,0,1,5
2024,745091,695243,BULLPEN,3,1,0,0,1,0,2,5
2024,745084,683155,STARTER,15,2,1,0,2,1,5,20
2024,745084,621053,BULLPEN,2,3,1,0,0,0,0,5
2024,745084,518397,BULLPEN,3,1,1,0,0,0,1,3
2024,745084,613534,BULLPEN,1,1,0,0,1,0,0,2
2024,745084,519008,BULLPEN,3,0,0,0,0,0,2,3
2024,745084,547184,BULLPEN,1,2,1,0,0,0,0,3
2024,745081,663687,STARTER,17,4,1,2,3,0,7,23
2024,745081,547184,BULLPEN,1,0,0,0,0,0,0,1
2024,745081,518397,BULLPEN,3,0,0,0,0,0,0,3
2024,745081,613534,BULLPEN,3,0,0,0,1,1,0,4
2024,745081,695243,BULLPEN,6,1,1,1,3,0,4,10
2024,745081,621053,BULLPEN,4,0,0,0,0,0,1,4
2024,745081,519008,BULLPEN,0,1,0,0,0,0,0,1
2024,747116,676664,STARTER,21,6,4,0,2,0,5,29
2024,747116,669620,BULLPEN,3,0,0,0,0,0,1,3
2024,747111,605156,STARTER,13,7,7,1,1,0,1,21
2024,747111,519008,BULLPEN,2,2,1,1,1,0,1,4
2024,747111,672552,BULLPEN,2,2,0,0,0,0,0,4
2024,747111,547184,BULLPEN,3,0,0,0,2,0,0,5
2024,747111,518397,BULLPEN,3,1,0,0,0,0,0,4
2024,747111,613534,BULLPEN,1,0,0,0,0,0,1,1
2024,747111,666204,BULLPEN,3,1,0,0,0,0,1,4
2024,747110,665622,STARTER,17,2,0,0,2,0,6,21
2024,747110,669620,BULLPEN,1,0,0,0,0,0,0,1
2024,747110,613534,BULLPEN,3,2,1,0,2,0,2,7
2024,747110,666204,BULLPEN,3,3,1,0,1,0,0,7
2024,745656,687765,STARTER,18,9,4,0,1,0,3,27
2024,745656,656794,BULLPEN,6,1,0,0,1,0,3,8
2024,745656,518397,BULLPEN,3,0,0,0,0,0,1,3
2024,745654,683155,STARTER,19,1,0,0,0,0,5,20
2024,745654,613534,BULLPEN,1,0,0,0,1,1,0,3
2024,745654,519008,BULLPEN,1,0,0,0,0,0,0,1
2024,745654,657697,BULLPEN,1,2,0,0,0,0,1,3
2024,745654,695243,BULLPEN,5,1,1,1,1,0,1,6
2024,745657,676664,STARTER,18,3,2,0,2,2,8,24
2024,745657,666204,BULLPEN,5,0,0,0,3,0,3,8
2024,745657,519008,BULLPEN,4,1,1,1,0,0,1,5
2024,745655,663687,STARTER,18,3,0,0,2,0,3,20
2024,745655,613534,BULLPEN,3,2,1,0,0,1,0,6
2024,745655,518397,BULLPEN,3,0,0,0,0,0,1,3
2024,745655,695243,BULLPEN,3,0,0,0,0,0,2,3
2024,745652,665622,STARTER,14,5,6,1,5,0,1,24
2024,745652,672552,BULLPEN,10,2,0,0,2,0,1,14
2024,745652,657697,BULLPEN,3,3,1,0,1,0,1,7
2024,745651,687765,STARTER,21,5,2,0,0,0,3,24
2024,745651,518397,BULLPEN,3,1,1,0,0,0,0,4
2024,745651,695243,BULLPEN,3,0,0,0,0,0,1,3
2024,745651,613534,BULLPEN,3,1,2,0,3,1,1,8
2024,745409,683155,STARTER,15,8,3,2,2,0,3,24
2024,745409,656794,BULLPEN,4,1,3,0,2,1,1,8
2024,745409,671305,BULLPEN,2,1,0,0,1,0,0,4
2024,745409,519008,BULLPEN,3,0,0,0,0,0,2,3
2024,745404,676664,STARTER,15,7,3,0,3,0,1,22
2024,745404,666204,BULLPEN,3,0,0,0,1,0,2,4
2024,745404,657697,BULLPEN,3,0,0,0,0,0,0,3
2024,745404,613534,BULLPEN,1,2,0,0,0,0,0,3
2024,745404,518397,BULLPEN,2,1,1,1,1,0,0,4
2024,745405,663687,STARTER,15,4,2,2,1,0,5,20
2024,745405,666204,BULLPEN,4,0,0,0,0,0,3,4
2024,745405,519008,BULLPEN,3,0,0,0,0,0,1,4
2024,745405,668674,BULLPEN,2,1,2,1,1,0,1,4
2024,745405,695243,BULLPEN,1,1,1,1,0,0,0,2
2024,745894,665622,STARTER,15,8,4,0,1,0,3,24
2024,745894,657697,BULLPEN,3,2,0,0,0,0,0,4
2024,745894,656794,BULLPEN,6,3,2,1,1,0,0,10
2024,745892,687765,STARTER,17,9,4,1,1,0,3,24
2024,745892,613534,BULLPEN,1,0,0,0,0,0,1,1
2024,745892,666204,BULLPEN,3,0,0,0,0,0,0,3
2024,745892,668674,BULLPEN,1,0,0,0,1,1,0,4
2024,745892,695243,BULLPEN,5,0,0,0,1,0,1,6
