"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","fielding_runs_prevented_on_rec1b","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Clarke, Denzel",672016,11.029681730637098,11.029681730637098,11.527264128167314,-0.4975823975302212,,,,,,,1151,0,0,0,0,0,0,1151,0
"Schuemann, Max",680474,6.1092915212548995,6.1092915212548995,6.125459822580703,0.30374227183353586,-0.3199105731593403,,,,,,1501,0,0,606,359,386,111,33,6
"Gelof, Zack",680869,2.576285189461935,2.576285189461935,1.706732710116529,,0.8695524793454051,,,,,,701,0,0,701,0,0,0,0,0
"Butler, Lawrence",671732,1.760612150281752,1.760612150281752,3.6635234588334065,-1.9029113085516536,,,,,,,3709,0,0,0,0,0,0,1366,2343
"Harris, Brett",695391,1.7373891374016495,1.7373891374016495,1.2333169538892177,,0.3587113000364657,0.14536088347596626,,,,,602,0,51,0,551,0,0,0,0
"Wynns, Austin",642851,1.4997478959858095,,,,,,1.4997478959858095,0.7455031030183356,0.5025240713516053,0.25172072161586795,461,461,0,0,0,0,0,0,0
"Cortes, Carlos",666126,1.256331537608014,1.256331537608014,0.7792636113865752,0.4770679262214381,,,,,,,576,0,0,0,3,0,153,0,420
"Hernaiz, Darell",687231,0.6872877178480555,0.6872877178480555,0.595054981244826,,0.09223273660322881,,,,,,1316,0,0,293,425,598,0,0,0
"Pereda, Jhonny",640902,0.04219323230549479,,,,,,0.04219323230549479,1.107667475330538,-0.7076514874707472,-0.35782275555429677,330,321,0,0,0,0,0,0,0
"Soderstrom, Tyler",691016,-0.0846300601000552,-0.0846300601000552,0.652851561364773,-1.5081317433325119,-0.09054678746927276,0.8611969093369547,,,,,3785,0,1182,0,0,0,2603,0,0
"Alexander, CJ",680769,-0.1763254928621504,-0.1763254928621504,0.3949670311100142,-0.34907220332615607,-0.23328581068168966,0.01106549003568108,,,,,111,0,48,0,42,0,9,0,12
"Avans, Drew",682183,-0.24748741601141466,-0.24748741601141466,-0.8386203469782789,0.5911329309668639,,,,,,,102,0,0,0,0,0,81,15,6
"Thomas, Colby",687515,-0.987250033472396,-0.987250033472396,-1.131021200095003,0.14377116662260758,,,,,,,809,0,0,0,0,0,123,282,404
"Davidson, Logan",669722,-1.409228603326179,-1.409228603326179,-1.0201000108257214,-0.06354091773674797,-0.0004766201242124121,-0.32511105463949685,,,,,156,0,72,24,60,0,0,0,0
"Urshela, Gio",570482,-1.8934571840654078,-1.8934571840654078,-1.6110386001589336,,-0.03946023876987531,-0.24295834513659995,,,,,1309,0,45,0,1264,0,0,0,0
"MacIver, Willie",680862,-1.9035077052978755,,,,,,-1.9035077052978755,-1.8596290461493745,0.3693984716042469,-0.4132771307527488,753,747,0,0,0,0,0,0,0
"Brown, Seth",664913,-2.7882812313207515,-2.7882812313207515,-2.4268374176059564,-0.36144381371479495,,,,,,,351,0,0,0,0,0,174,135,42
"Rooker, Brent",667670,-3.0017117360322256,-3.0017117360322256,-2.439931031316064,-0.5617807047161628,,,,,,,648,0,0,0,0,0,162,0,486
"Langeliers, Shea",669127,-3.040037046137385,,,,,,-3.040037046137385,-2.948021446081363,-0.20741932867515875,0.1154037286191415,2784,2784,0,0,0,0,0,0,0
"Wilson, Jacob",805779,-3.1719438035231766,-3.1719438035231766,-2.0834054070850554,0.2537505912999497,-1.3422889877380701,,,,,,3161,0,0,0,0,3161,0,0,0
"Urías, Luis",649966,-3.840329984771441,-3.840329984771441,-4.294441329177452,,0.4541113444060121,,,,,,2278,0,0,2134,144,0,0,0,0
"Kurtz, Nick",701762,-4.492854601761462,-4.492854601761462,-4.235668178171261,0.023998907720836394,-0.4835336462754664,0.2023483149644278,,,,,2912,0,2912,0,0,0,0,0,0
"Andujar, Miguel",609280,-5.285700231442122,-5.285700231442122,-5.494848550152062,0.25770726243548064,-0.04855894372554423,,,,,,1394,0,3,0,713,0,612,0,66
"Muncy, Max",691777,-5.619115100367431,-5.619115100367431,-4.902629433654269,0.006022418286479295,-0.7225080849996419,,,,,,1475,0,0,555,752,168,0,0,0
"Bleday, JJ",668709,-6.196883058639023,-6.196883058639023,-7.2094876323675745,1.0126045737285505,,,,,,,2144,0,0,0,0,0,285,1331,528
