ROLE,OUTS,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
BULLPEN,1792,597.333,509,254,52,262,45,605,2537,3.827,1.291,9.116,3.948,0.783,23.85,10.33,13.52,3.814
STARTER,2518,839.333,876,444,117,268,47,658,3624,4.761,1.363,7.056,2.874,1.255,18.16,7.4,10.76,4.536
