PERIOD,OPP_STRENGTH,G,RS,R_G,MEDIAN_RS,SD_POP_RS,PCT_0_2,PCT_3_4,PCT_5_PLUS,PCT_7_PLUS,R_G_HOME,R_G_AWAY,R_1_3_G,R_4_6_G,R_7_PLUS_G,STARTER_RUNS,STARTER_RUNS_G,BULLPEN_RUNS,BULLPEN_RUNS_G,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,HALF_INNINGS_3PLUS_PCT,GAMES_WITH_3PLUS,GAMES_WITH_3PLUS_PCT,SAMPLE_STATUS
2024,DEBIL,44,221,5.023,5.0,2.709,18.2,27.3,54.5,36.4,5.0,5.045,1.568,1.591,1.864,124,2.818,97,2.205,396,19,4.8,17,38.6,ESTABLE
2024,FUERTE,51,199,3.902,4.0,2.53,31.4,37.3,31.4,9.8,3.417,4.333,1.294,1.176,1.431,114,2.235,85,1.667,460,15,3.3,13,25.5,ESTABLE
2024,MEDIO,67,252,3.761,4.0,2.376,32.8,31.3,35.8,10.4,4.143,3.344,1.403,1.179,1.179,158,2.358,94,1.403,586,23,3.9,23,34.3,ESTABLE
2025,DEBIL,39,189,4.846,5.0,3.034,23.1,25.6,51.3,28.2,4.524,5.222,1.487,1.513,1.846,108,2.769,81,2.077,342,20,5.8,18,46.2,ESTABLE
2025,FUERTE,73,300,4.11,3.0,2.977,38.4,20.5,41.1,23.3,4.0,4.195,1.329,1.534,1.247,179,2.452,121,1.658,654,33,5.0,27,37.0,ESTABLE
2025,MEDIO,50,200,4.0,4.0,2.807,32.0,28.0,40.0,18.0,4.393,3.5,1.16,1.5,1.34,116,2.32,84,1.68,444,20,4.5,16,32.0,ESTABLE
2026_CUTOFF,DEBIL,32,183,5.719,6.0,3.393,18.8,12.5,68.8,31.2,4.667,6.13,1.969,1.938,1.812,97,3.031,86,2.688,288,22,7.6,16,50.0,ESTABLE
2026_CUTOFF,FUERTE,40,143,3.575,3.0,2.616,40.0,25.0,35.0,12.5,3.714,3.25,1.15,1.5,0.925,83,2.075,60,1.5,351,16,4.6,13,32.5,ESTABLE
2026_CUTOFF,MEDIO,29,122,4.207,3.0,2.772,31.0,34.5,34.5,20.7,3.0,5.5,1.414,1.517,1.276,71,2.448,51,1.759,261,12,4.6,10,34.5,ESTABLE
