PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,581.333,492,234,65,226,41,591,2472,3.623,1.235,9.15,3.499,1.006,23.91,9.14,14.77,3.964
2024,STARTER,871.333,780,373,116,307,47,866,3659,3.853,1.248,8.945,3.171,1.198,23.67,8.39,15.28,4.128
2025,BULLPEN,566.667,509,275,75,237,22,599,2437,4.368,1.316,9.514,3.764,1.191,24.58,9.73,14.85,4.113
2025,STARTER,873.0,730,350,100,320,35,841,3643,3.608,1.203,8.67,3.299,1.031,23.09,8.78,14.3,3.917
2026_CUTOFF,BULLPEN,362.333,296,123,33,137,20,345,1515,3.055,1.195,8.569,3.403,0.82,22.77,9.04,13.73,3.675
2026_CUTOFF,STARTER,544.333,470,218,69,171,20,557,2264,3.604,1.178,9.209,2.827,1.141,24.6,7.55,17.05,3.75
