PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1458,296,45,122,18,363,126
2024,2,1452,322,45,114,15,340,143
2024,3,757,162,26,71,14,161,93
2024,4+,8,0,0,0,0,2,0
2025,1,1456,275,31,133,14,360,117
2025,2,1416,292,48,114,16,301,154
2025,3,775,161,21,73,5,180,82
2025,4+,7,2,0,0,0,0,2
2026_CUTOFF,1,913,176,31,69,10,253,73
2026_CUTOFF,2,878,189,22,55,8,218,103
2026_CUTOFF,3,461,102,15,46,2,80,50
2026_CUTOFF,4+,15,3,1,1,0,6,3
