PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,25084,24.28,21.72,78.28,83.57,25.97,5.59,0.344,0.348
2025,24920,25.14,24.05,75.95,84.27,28.91,6.2,0.351,0.344
2026_CUTOFF,15192,28.59,24.93,75.07,83.38,26.12,5.1,0.329,0.326
