PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1810,0.235,0.334,0.387,0.331,0.338
2024,R,4444,0.253,0.332,0.445,0.349,0.353
2025,L,1702,0.257,0.34,0.457,0.357,0.341
2025,R,4543,0.248,0.329,0.454,0.349,0.346
2026_CUTOFF,L,1270,0.24,0.313,0.424,0.33,0.315
2026_CUTOFF,R,2549,0.233,0.316,0.418,0.329,0.332
