PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,35.402,14.446,5.551,9.507,-4.914,4.303,20.955,21.376,-3.541,3.121,-0.0,0.0
2025,12.883,0.072,-5.947,1.957,-0.482,4.544,12.811,15.86,-2.183,-0.866,0.0,-0.0
2026_CUTOFF,5.218,-2.411,-0.824,-0.325,-2.225,0.963,7.629,7.178,-1.587,2.037,0.0,-0.0
