PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,13595,17.53,3444,0.275,0.369,0.481,0.378,0.378,82.7
2024,BREAKING,7653,26.93,1810,0.215,0.281,0.378,0.299,0.309,18.4
2024,OFFSPEED,3576,27.94,933,0.216,0.282,0.34,0.289,0.303,17.7
2025,FASTBALL,13304,18.69,3359,0.275,0.36,0.507,0.383,0.382,97.5
2025,BREAKING,7604,31.61,1832,0.22,0.289,0.417,0.314,0.303,32.0
2025,OFFSPEED,3781,28.7,987,0.23,0.282,0.364,0.291,0.273,13.3
2026_CUTOFF,FASTBALL,8150,18.33,2076,0.252,0.348,0.44,0.353,0.354,3.0
2026_CUTOFF,BREAKING,4586,33.15,1109,0.216,0.274,0.396,0.297,0.285,12.1
2026_CUTOFF,OFFSPEED,2302,32.46,594,0.218,0.26,0.39,0.293,0.295,11.6
