PERIOD,G,RS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,HALF_INNINGS_3PLUS_PCT,GAMES_WITH_3PLUS,GAMES_WITH_3PLUS_PCT,STARTER_RUNS,STARTER_RUNS_G,BULLPEN_RUNS,BULLPEN_RUNS_G
2024,162,676,1437,78,5.4,65,40.1,369,2.278,307,1.895
2025,162,766,1459,87,6.0,72,44.4,437,2.698,329,2.031
2026_CUTOFF,102,412,907,44,4.9,36,35.3,246,2.412,166,1.627
