PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1445,315,61,84,14,365,163
2024,2,1398,327,49,90,13,341,163
2024,3,713,162,20,46,3,162,73
2024,4+,17,4,0,0,0,5,2
2025,1,1442,325,51,98,8,368,148
2025,2,1376,321,60,95,15,297,193
2025,3,617,136,19,38,9,119,72
2025,4+,14,4,0,1,0,2,0
2026_CUTOFF,1,914,189,32,78,9,218,95
2026_CUTOFF,2,875,214,34,63,12,181,129
2026_CUTOFF,3,499,114,13,37,3,107,50
2026_CUTOFF,4+,13,3,3,1,0,3,5
