PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,82,80,742,735,4.58,4.537,7,43,38,39,42,22,20
2025,162,70,92,678,773,4.185,4.772,-95,38,43,32,49,15,27
2026_CUTOFF,103,50,53,495,527,4.806,5.117,-32,26,25,24,28,11,14
