PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,12529,17.34,3326,0.254,0.335,0.423,0.341,0.347,-14.9
2024,BREAKING,7306,30.58,1846,0.234,0.287,0.399,0.309,0.287,18.8
2024,OFFSPEED,3493,31.62,924,0.24,0.282,0.385,0.301,0.284,16.6
2025,FASTBALL,13259,17.08,3522,0.253,0.336,0.416,0.339,0.336,-19.9
2025,BREAKING,6837,33.43,1608,0.224,0.279,0.406,0.307,0.288,23.8
2025,OFFSPEED,3472,34.12,912,0.206,0.254,0.313,0.263,0.263,-10.4
2026_CUTOFF,FASTBALL,8063,17.22,2195,0.271,0.353,0.453,0.36,0.348,7.5
2026_CUTOFF,BREAKING,4547,32.99,1068,0.231,0.295,0.417,0.322,0.276,30.7
2026_CUTOFF,OFFSPEED,2493,31.57,635,0.198,0.246,0.272,0.25,0.248,-10.1
