PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1628,0.253,0.31,0.422,0.326,0.316
2024,R,4504,0.244,0.317,0.407,0.328,0.323
2025,L,1702,0.242,0.316,0.389,0.321,0.306
2025,R,4374,0.237,0.308,0.4,0.32,0.316
2026_CUTOFF,L,1155,0.228,0.318,0.358,0.318,0.313
2026_CUTOFF,R,2760,0.255,0.322,0.435,0.338,0.313
