PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,23447,29.05,23.58,76.42,82.6,24.34,4.12,0.327,0.321
2025,23686,27.82,24.2,75.8,83.4,26.76,4.69,0.32,0.313
2026_CUTOFF,15160,29.22,24.05,75.95,82.8,23.96,4.44,0.332,0.313
