PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,-5.833,-5.151,0.581,2.404,-4.814,-3.322,-0.682,0.529,-0.79,-0.42,-0.0,0.0
2025,-27.988,-16.873,-8.517,-1.627,-1.373,-5.356,-11.115,-8.625,-3.632,1.142,0.0,0.0
2026_CUTOFF,-29.912,-24.252,-18.793,-3.17,-1.421,-0.867,-5.661,-0.546,-5.51,0.396,-0.0,-0.0
