PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,588.0,525,269,60,213,39,627,2509,4.117,1.255,9.597,3.26,0.918,24.99,8.49,16.5,3.646
2024,STARTER,852.333,808,413,130,220,30,873,3569,4.361,1.206,9.218,2.323,1.373,24.46,6.16,18.3,3.98
2025,BULLPEN,613.0,625,313,64,227,37,586,2677,4.595,1.39,8.604,3.333,0.94,21.89,8.48,13.41,3.872
2025,STARTER,813.667,786,408,130,232,32,786,3439,4.513,1.251,8.694,2.566,1.438,22.86,6.75,16.11,4.253
2026_CUTOFF,BULLPEN,371.667,377,210,43,193,26,339,1688,5.085,1.534,8.209,4.674,1.041,20.08,11.43,8.65,4.543
2026_CUTOFF,STARTER,534.667,520,270,82,179,24,509,2294,4.545,1.307,8.568,3.013,1.38,22.19,7.8,14.39,4.325
