PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1523,0.257,0.326,0.447,0.345,0.335
2024,R,4556,0.239,0.304,0.404,0.32,0.325
2025,L,1681,0.248,0.322,0.394,0.325,0.318
2025,R,4512,0.244,0.32,0.401,0.324,0.326
2026_CUTOFF,L,1406,0.239,0.305,0.401,0.323,0.309
2026_CUTOFF,R,2427,0.256,0.324,0.426,0.336,0.331
