PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,13820,19.36,3499,0.259,0.334,0.448,0.351,0.354,31.5
2024,BREAKING,7247,34.43,1800,0.211,0.26,0.358,0.278,0.283,-14.5
2024,OFFSPEED,2755,32.8,732,0.247,0.301,0.402,0.322,0.299,20.7
2025,FASTBALL,13709,17.48,3438,0.268,0.358,0.425,0.353,0.351,12.9
2025,BREAKING,7534,29.52,1822,0.225,0.278,0.405,0.304,0.296,21.6
2025,OFFSPEED,3244,26.85,896,0.206,0.251,0.302,0.252,0.273,-22.3
2026_CUTOFF,FASTBALL,8277,17.34,2086,0.264,0.347,0.44,0.352,0.351,-1.0
2026_CUTOFF,BREAKING,4454,28.92,1112,0.23,0.279,0.391,0.302,0.284,3.6
2026_CUTOFF,OFFSPEED,2117,27.09,603,0.226,0.264,0.36,0.289,0.275,4.5
