PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,-0.923,-1.328,-1.147,-0.592,-1.547,1.957,0.405,-2.344,-0.323,3.072,0.0,0.0
2025,9.603,3.818,1.37,-0.694,-0.773,3.915,5.785,1.218,0.926,3.642,-0.0,-0.0
2026_CUTOFF,8.117,13.637,11.953,3.582,-1.798,-0.1,-5.521,-0.54,-5.078,0.097,0.0,-0.0
