PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,539.0,466,199,57,172,21,594,2235,3.323,1.184,9.918,2.872,0.952,26.58,7.7,18.88,3.411
2024,STARTER,904.333,811,360,93,277,47,959,3743,3.583,1.203,9.544,2.757,0.926,25.62,7.4,18.22,3.457
2025,BULLPEN,572.0,501,266,78,219,28,555,2410,4.185,1.259,8.733,3.446,1.227,23.03,9.09,13.94,4.263
2025,STARTER,866.0,847,431,119,311,42,861,3706,4.479,1.337,8.948,3.232,1.237,23.23,8.39,14.84,4.156
2026_CUTOFF,BULLPEN,380.333,305,137,40,128,11,371,1549,3.242,1.138,8.779,3.029,0.947,23.95,8.26,15.69,3.608
2026_CUTOFF,STARTER,515.333,466,228,77,210,23,482,2201,3.982,1.312,8.418,3.668,1.345,21.9,9.54,12.36,4.524
