PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,89,73,704,607,4.346,3.747,97,46,35,43,38,18,25
2025,162,76,86,724,734,4.469,4.531,-10,39,42,37,44,21,35
2026_CUTOFF,101,59,42,502,397,4.97,3.931,105,31,20,28,22,13,14
