PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,24017,29.19,25.36,74.64,83.33,25.46,5.09,0.327,0.327
2025,24622,27.44,22.35,77.65,83.21,25.12,4.57,0.325,0.324
2026_CUTOFF,14951,33.21,22.16,77.84,83.07,24.8,4.56,0.331,0.323
