PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1452,309,35,107,20,413,113
2024,2,1425,307,39,107,23,345,144
2024,3,853,190,18,60,4,194,101
2024,4+,27,5,1,3,0,7,3
2025,1,1450,320,45,107,15,370,144
2025,2,1394,342,52,126,15,299,187
2025,3,850,182,22,76,12,187,88
2025,4+,25,3,0,1,0,5,0
2026_CUTOFF,1,905,186,27,89,10,220,86
2026_CUTOFF,2,867,195,34,78,10,173,106
2026_CUTOFF,3,420,81,15,42,3,87,44
2026_CUTOFF,4+,15,4,1,1,0,2,2
