PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1652,0.256,0.329,0.44,0.346,0.339
2024,R,4520,0.243,0.316,0.406,0.325,0.327
2025,L,1782,0.236,0.312,0.385,0.315,0.323
2025,R,4397,0.254,0.332,0.445,0.347,0.349
2026_CUTOFF,L,1059,0.233,0.303,0.38,0.31,0.321
2026_CUTOFF,R,2814,0.235,0.305,0.384,0.313,0.325
