PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,89,73,768,697,4.741,4.302,71,46,35,43,38,28,16
2025,162,83,79,766,715,4.728,4.414,51,49,32,34,47,23,26
2026_CUTOFF,103,43,60,419,483,4.068,4.689,-64,21,28,22,32,9,18
