PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,10.266,10.131,5.063,-0.162,-0.362,5.592,0.135,2.321,2.967,-5.153,-0.0,0.0
2025,-4.567,-14.607,-11.255,1.116,-5.188,0.719,10.04,1.635,8.78,-0.374,-0.0,0.0
2026_CUTOFF,-9.848,-15.038,-13.612,0.333,-3.729,1.97,5.189,3.141,2.271,-0.223,-0.0,0.0
