PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1458,292,33,130,21,358,121
2024,2,1451,300,37,137,18,287,161
2024,3,836,186,33,67,14,158,109
2024,4+,20,2,0,1,1,4,1
2025,1,1436,305,35,127,15,335,121
2025,2,1340,294,34,122,16,304,160
2025,3,651,146,14,74,13,124,80
2025,4+,9,2,0,0,0,3,0
2026_CUTOFF,1,883,183,23,94,16,225,97
2026_CUTOFF,2,799,168,26,71,13,184,102
2026_CUTOFF,3,399,85,9,41,4,89,38
2026_CUTOFF,4+,11,0,0,0,1,6,0
