PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,24162,28.53,23.12,76.88,82.97,24.95,4.59,0.331,0.33
2025,24345,26.11,22.57,77.43,84.11,29.02,5.69,0.338,0.342
2026_CUTOFF,15196,30.52,23.13,76.87,83.03,24.94,4.58,0.312,0.324
