PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,23877,26.98,23.0,77.0,83.03,24.88,4.52,0.319,0.317
2025,23972,26.93,22.74,77.26,82.93,24.21,3.94,0.318,0.31
2026_CUTOFF,14703,31.68,21.28,78.72,82.59,22.73,3.88,0.324,0.313
