PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1403,288,34,120,20,357,135
2024,2,1297,275,32,132,12,303,145
2024,3,594,158,18,40,4,116,77
2024,4+,20,2,0,1,0,2,0
2025,1,1443,308,28,129,12,379,131
2025,2,1378,317,33,106,15,306,145
2025,3,761,192,27,61,8,146,102
2025,4+,22,5,1,4,0,1,3
2026_CUTOFF,1,916,193,36,75,8,226,98
2026_CUTOFF,2,908,192,16,94,11,171,93
2026_CUTOFF,3,513,125,13,42,7,73,69
2026_CUTOFF,4+,24,6,0,0,0,4,2
