PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,655.0,616,288,69,233,34,658,2794,3.957,1.296,9.041,3.202,0.948,23.55,8.34,15.21,3.749
2024,STARTER,778.667,723,365,84,293,36,778,3301,4.219,1.305,8.992,3.387,0.971,23.57,8.88,14.69,3.838
2025,BULLPEN,596.667,531,231,54,206,34,526,2499,3.484,1.235,7.934,3.107,0.815,21.05,8.24,12.81,3.755
2025,STARTER,837.0,822,381,89,300,35,832,3596,4.097,1.341,8.946,3.226,0.957,23.14,8.34,14.79,3.73
2026_CUTOFF,BULLPEN,346.333,323,170,39,164,16,298,1511,4.418,1.406,7.744,4.262,1.013,19.72,10.85,8.87,4.398
2026_CUTOFF,STARTER,551.333,516,270,65,211,26,474,2355,4.407,1.319,7.738,3.444,1.061,20.13,8.96,11.17,4.198
