PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,80,82,693,699,4.278,4.315,-6,42,39,38,43,24,24
2025,162,81,81,705,684,4.352,4.222,21,42,39,39,42,28,30
2026_CUTOFF,102,42,60,417,481,4.088,4.716,-64,22,25,20,35,9,16
