PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,4.993,-12.151,-7.743,-1.595,-3.122,0.309,17.144,19.366,0.332,-2.555,-0.0,0.0
2025,17.872,-13.277,-20.58,1.828,2.262,3.213,31.149,26.817,4.842,-0.509,0.0,-0.0
2026_CUTOFF,-3.794,-10.199,-6.663,-2.308,2.25,-3.478,6.405,5.481,1.578,-0.654,0.0,-0.0
