PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1681,0.252,0.321,0.419,0.333,0.323
2024,R,4387,0.233,0.299,0.387,0.313,0.315
2025,L,1622,0.214,0.279,0.351,0.288,0.288
2025,R,4456,0.242,0.323,0.399,0.329,0.317
2026_CUTOFF,L,1019,0.25,0.302,0.391,0.316,0.304
2026_CUTOFF,R,2802,0.253,0.309,0.425,0.326,0.316
