PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,13472,17.21,3484,0.26,0.341,0.437,0.351,0.351,9.5
2024,BREAKING,6992,31.97,1695,0.212,0.256,0.358,0.277,0.269,-16.3
2024,OFFSPEED,3209,27.95,834,0.207,0.242,0.304,0.256,0.259,-15.4
2025,FASTBALL,13517,16.75,3352,0.256,0.347,0.425,0.349,0.341,-1.5
2025,BREAKING,7242,29.71,1855,0.212,0.268,0.349,0.282,0.273,-18.9
2025,OFFSPEED,3074,31.81,834,0.2,0.245,0.312,0.257,0.252,-14.6
2026_CUTOFF,FASTBALL,8434,17.25,2185,0.268,0.33,0.43,0.342,0.326,-18.8
2026_CUTOFF,BREAKING,4446,27.8,1130,0.224,0.264,0.39,0.288,0.283,-5.5
2026_CUTOFF,OFFSPEED,1696,25.0,469,0.244,0.28,0.395,0.304,0.31,10.9
