PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,-26.755,-22.04,-27.104,-2.594,5.484,2.175,-4.715,-4.349,-1.523,1.157,0.0,0.0
2025,-54.718,-37.929,-42.95,-2.964,9.031,-1.046,-16.79,-11.749,-3.268,-1.774,0.0,0.0
2026_CUTOFF,-28.65,-13.433,-17.32,-0.299,1.752,2.435,-15.217,-12.079,-1.632,-1.506,0.0,0.0
