PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1455,327,56,135,19,316,165
2024,2,1377,321,47,117,17,262,196
2024,3,771,180,27,73,6,124,107
2024,4+,28,12,0,4,0,1,6
2025,1,1446,345,56,126,15,301,171
2025,2,1424,315,46,143,13,269,177
2025,3,790,196,27,82,3,121,100
2025,4+,7,3,1,0,0,0,1
2026_CUTOFF,1,925,176,30,113,9,218,94
2026_CUTOFF,2,878,185,16,87,14,178,95
2026_CUTOFF,3,460,97,13,42,4,100,65
2026_CUTOFF,4+,6,5,0,0,0,0,1
