PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,23361,27.56,23.65,76.35,82.16,22.2,3.67,0.306,0.309
2025,23852,27.04,26.44,73.56,82.82,24.31,5.51,0.313,0.314
2026_CUTOFF,15146,31.71,25.18,74.82,81.7,22.56,4.3,0.319,0.312
