PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1259,0.245,0.307,0.382,0.313,0.313
2024,R,4728,0.225,0.3,0.366,0.304,0.308
2025,L,1147,0.228,0.291,0.41,0.312,0.324
2025,R,4865,0.224,0.299,0.394,0.313,0.311
2026_CUTOFF,L,1024,0.242,0.319,0.4,0.326,0.315
2026_CUTOFF,R,2863,0.239,0.314,0.383,0.317,0.312
