PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,63,99,635,797,3.92,4.92,-162,32,49,31,50,22,26
2025,162,72,90,673,837,4.154,5.167,-164,39,42,33,48,28,21
2026_CUTOFF,103,41,62,442,500,4.291,4.854,-58,24,28,17,34,12,18
