PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,597.0,488,265,72,272,39,549,2523,3.995,1.273,8.276,4.101,1.085,21.76,10.78,10.98,4.457
2024,STARTER,834.0,840,461,130,329,42,703,3623,4.975,1.402,7.586,3.55,1.403,19.4,9.08,10.32,4.841
2025,BULLPEN,593.0,570,320,93,269,21,589,2595,4.857,1.415,8.939,4.083,1.411,22.7,10.37,12.33,4.654
2025,STARTER,838.333,859,457,130,351,31,691,3660,4.906,1.443,7.418,3.768,1.396,18.88,9.59,9.29,4.869
2026_CUTOFF,BULLPEN,386.0,342,191,51,191,28,412,1686,4.453,1.381,9.606,4.453,1.189,24.44,11.33,13.11,4.381
2026_CUTOFF,STARTER,521.0,463,267,59,242,27,496,2264,4.612,1.353,8.568,4.18,1.019,21.91,10.69,11.22,4.213
